structure_id,name,type,site_id,description
ST101,Amritavarshini Vav,Stepwell,S101,Historic stepwell located in Panchkuva
ST102,Dutch Tomb,Tomb,S102,Historic tomb near Kankaria Lake in Ahmedabad
ST103,Khan Talav,Water Structure,S103,Historic water outlet structure in Dholka
ST104,Ancient Masjid,Mosque,S104,Historic mosque located in Isanpur
ST105,Ancient Step Well,Stepwell,S105,Ancient stepwell located in Kathwada
ST106,Timbo,Archaeological Mound,S106,Archaeological mound located in Babra
ST107,Adnath Temple,Temple,S107,Historic temple located in Adpokar
ST109,Ganganath Mahadev Temple,Temple,S109,Null
ST110,Ancient Shiv Temple,Temple,S110,Null
ST111,Kumbheshwar Mahadev,Temple,S111,Null
ST112,Temple No.1 Near Kantivas,Temple,S112,Null
ST113,Temple No.2,Temple,S113,Null
ST114,Temple No.3,Temple,S114,Null
ST115,Temple No.4,Temple,S115,Null
ST116,Temple No.5,Temple,S116,Null
ST117,Temple No.6,Temple,S117,Null
ST118,Temple No.1 (near Mahudi),Temple,S118,Null
ST119,Temple No.2,Temple,S119,Null
ST120,Temple No.3,Temple,S120,Null
ST121,Temple No.4,Temple,S121,Null
ST122,Stepwell,Temple,S122,Null
ST123,Ancient Temple,Temple,S123,Null
ST124,Muleshwar Mahadev Temple,Temple,S124,Null
ST125,Muleshwar Mahadev Temple,Temple,S125,Null
ST126,Mithi Vav,Stepwell,S126,Null
ST127,Zaloragadh Timbo,Mound,S127,Null
ST128,Kadia Dungar Caves,Cave,S128,Null
ST129,Haripiya Timbo,Mound,S129,Null
ST130,Ganga Chhatri,Monument,S130,Null
ST132,Bhavnath Temple,Temple,S132,Null
ST133,Firangi Deval,Temple,S133,Null
ST134,Gopnath Temple,Temple,S134,Null
ST135,Brahma Kund,Water Tank,S135,Null
ST136,Saat Sheri (Satsheri),Monument,S136,Null
ST137,Minara,Tower,S137,Null
ST138,Ancient Temple,Temple,S138,Null
ST139,Kund & Toran,Monument,S139,Null
ST140,Vav (Step Well),Stepwell,S140,Null
