artifact_id,name,type,site_id,structure_id,description
A108,Kandhrmatad Inscriptions,Inscription,S108,Null,Two inscriptions of Kandhmatad
A131,Carvings of Old Darbargadh,Carving,S131,Null,Null
A134,Ceiling and Pictures on the wall,Painting / Carving,S134,ST134,Null
A146,Pictures on wall of MacMurdo's Bungalow,Wall Painting,S146,ST146,Null
A172,Inscription of Juma Masjid,Inscription,S172,ST172,Null
A180,Stone Memorial Inscription & Battlefield,Memorial(Inscription),S180,Null,Null
A200,Temple & Two Inscriptions (Ajara Parshwanath),Temple+Inscription,S200,ST200,Null
A229,Stone Inscription with Mai Gadechi of H. S. 685,Inscription,S229,Null,Null
A202,Stone Inscriptions Near Talav,Inscription,S202,Null,Null
A218,Replica of Ashoka Stone Inscription,Inscription,S218,Null,Null
A216,Stone Inscription of Ra'Mandlik (Samvat 1507),Inscription,S216,Null,Null
A211,Two Stone Inscriptions on Jumma Masjid,Inscription,S211,ST211,Null
A212,Two Idols of Kshetrapal At Vav (Pujari Vav),Idols,S212,ST212,Null
A236,Wooden Sandal (Paduka) of Ramchandraji,Religious Relic,S236,Null,Null
A238,Hathi Pagla,Footprint Carving,S238,Null,Null
A259,Dhanvantari no Palio,Memorial Stone,S259,Null,Null
A260,Memorial Stone of Dah Culture,Memorial Stone,S260,Null,Null
A264,Nani Vav-no Shilalekh,Inscription,S264,Null,Null
A265,Ceiling of Jumma Masjid (S.1408),Architectural Carving,S265,Null,Null
A267,Stone Inscription of Vijayshwar Mahadev,Inscription,S267,Null,Null
A274,Bilingual Stone Inscription at Gayatri Temple,Inscription,S274,ST274,Null
A277,Stone Inscription at Kaji Masjid,Inscription,S277,Null,Null
A328,Memorial Stone near Cemetery,Memorial Stone,S328,Null,Null
A285,Stone Inscription of Bhadrakali Mata,Inscription,S285,Null,Null
A287,Stone Inscription (at Shah Makbara),Inscription,S287,ST287,Null
A288,Stone Inscription at Mussafar Masjid,Inscription,S288,Null,Null
A289,Stone Inscription Near Mota Darwaja,Inscription,S289,Null,Null
A290,Ceiling of Riyapir Masjid,Architectural Element,S290,Null,Null
A294,Stone Inscription of Sultan Ahmed,Inscription,S294,Null,Null
A297,Stone Inscription at Jumma Masjid (H.S.732),Inscription,S297,ST297,Null
A298,Stone Inscription at Harshadmata Temple,Inscription,S298,ST298,Null
A340,Stone Inscription (Kaleshwari Mata Temple),Inscription,S340,ST340,Null
A397,Memorial Stone of Lakha Fulani,Memorial Stone,S397,Null,Null
A398,Stone Inscription in Darbargadh,Inscription,S398,Null,Null
A405,Tamrapatra (Copper Plate Record),Inscription/Record,S405,ST405,Null
A407,Stone Inscription at Jadeshwar Mahadev,Inscription,S407,Null,Null
A462,Three Inscriptions (Neminath Jain Temple),Inscription,S462,ST462,Null
A463,Six Inscriptions (Vastupal Jain Temple),Inscription,S463,ST463,Null
A656,Archaeological Remains (Plot 535),Excavation Finds,S656,Null,Ancient site findings
A662,Microlithic Tools of Anarapura,Stone Tools,S662,Null,Prehistoric microlithic artifacts
A669,Archaeological Remains of Sandhiyapura,Excavation Finds,S669,Null,Ancient remains
A670,Excavated Artifacts of Kayavarohan,Excavation Finds,S670,Null,Archaeological finds
A672,Frescos of Bhau Tambekar’s Wada,Wall Painting,S672,ST672,Wall frescos
A673,Historic Site S.No. 431 to 435,Excavation Finds,S673,Null,Site remains
A674,Ancient site Gohilwad Timbo (Mound),Mound Findings,S674,Null,Ancient mound finds
A675,Fresco on the wall of Kashivisvanath temple,Wall Painting,S675,ST675,Temple wall painting
A676,Ancient Site,Excavation Finds,S676,Null,Ancient remains
A677,Ancient site / Mound,Mound Findings,S677,Null,Archaeological finds
A681,Vallabhipur Mound Artifacts,Mound Findings,S681,Null,Ancient remains
A686,Kshatrapa Inscriptions,Inscription,S686,Null,Historical inscriptions
A696,Intwa Mound Artifacts,Mound Findings,S696,Null,Excavated finds
A704,Kotada Site Artifacts,Excavation Finds,S704,Null,Archaeological remains
A705,Juni Kuran Site Artifacts,Excavation Finds,S705,Null,Excavated remains
A707,Surkotada Excavation Finds,Excavation Finds,S707,Null,Harappan site finds
A713,Rangpur Mound Artifacts,Mound Findings,S713,Null,Ancient remains
A715,Sejakpur Site Artifacts,Excavation Finds,S715,Null,Site remains
A718,Dholavira Quarry Artifacts I,Quarry Remains,S718,Null,Quarry remains
A719,Dholavira Quarry Artifacts II,Quarry Remains,S719,Null,Quarry remains
